Time;Channel A;Channel B
(ms);(V);(V)

-50.09133741;3.97976600;5.46586500
-50.05037741;3.97976600;5.46586500
-50.00941741;0.01190222;0.15076140
-49.96845741;0.01190222;0.15076140
-49.92749741;0.01190222;-0.02624592
-49.88653741;0.01190222;0.15076140
-49.84557741;0.01190222;-0.02624592
-49.80461741;0.01190222;-0.02624592
-49.76365741;0.01190222;-0.02624592
-49.72269741;0.01190222;-0.02624592
-49.68173742;0.01190222;-0.02624592
-49.64077742;0.01190222;-0.02624592
-49.59981742;0.05600147;-0.02624592
-49.55885742;0.01190222;-0.02624592
-49.51789742;-0.03219703;-0.02624592
-49.47693742;0.01190222;-0.02624592
-49.43597742;0.01190222;-0.02624592
-49.39501742;0.01190222;-0.02624592
-49.35405742;0.01190222;-0.02624592
-49.31309742;0.01190222;-0.02624592
-49.27213742;0.01190222;-0.02624592
-49.23117742;0.01190222;-0.02624592
-49.19021742;0.01190222;-0.02624592
-49.14925742;0.01190222;-0.02624592
-49.10829742;0.01190222;-0.02624592
-49.06733742;0.01190222;-0.02624592
-49.02637742;0.01190222;-0.02624592
-48.98541742;0.01190222;-0.02624592
-48.94445742;0.01190222;-0.02624592
-48.90349742;0.01190222;0.15076140
-48.86253742;0.01190222;-0.02624592
-48.82157742;0.01190222;-0.02624592
-48.78061742;0.01190222;0.15076140
-48.73965742;0.01190222;-0.02624592
-48.69869742;0.01190222;-0.02624592
-48.65773742;0.01190222;-0.02624592
-48.61677742;0.01190222;-0.02624592
-48.57581742;0.01190222;0.15076140
-48.53485742;0.01190222;-0.02624592
-48.49389742;0.01190222;-0.02624592
-48.45293742;0.01190222;-0.02624592
-48.41197742;0.01190222;-0.02624592
-48.37101742;-0.03219703;-0.02624592
-48.33005742;0.01190222;0.15076140
-48.28909742;0.01190222;0.15076140
-48.24813742;0.01190222;0.15076140
-48.20717742;0.01190222;-0.02624592
-48.16621742;0.01190222;-0.02624592
-48.12525742;0.01190222;0.15076140
-48.08429742;0.01190222;-0.02624592
-48.04333743;0.01190222;-0.02624592
-48.00237743;0.01190222;-0.02624592
-47.96141743;0.01190222;-0.02624592
-47.92045743;0.01190222;0.15076140
-47.87949743;-0.03219703;0.15076140
-47.83853743;0.01190222;-0.02624592
-47.79757743;0.01190222;-0.02624592
-47.75661743;0.01190222;-0.02624592
-47.71565743;0.01190222;-0.02624592
-47.67469743;0.01190222;-0.02624592
-47.63373743;0.01190222;-0.02624592
-47.59277743;0.01190222;-0.02624592
-47.55181743;0.01190222;-0.02624592
-47.51085743;0.01190222;0.15076140
-47.46989743;0.01190222;-0.02624592
-47.42893743;0.01190222;0.15076140
-47.38797743;0.01190222;0.15076140
-47.34701743;0.01190222;-0.02624592
-47.30605743;0.01190222;0.15076140
-47.26509743;0.01190222;-0.02624592
-47.22413743;0.01190222;-0.02624592
-47.18317743;0.01190222;0.15076140
-47.14221743;0.01190222;-0.02624592
-47.10125743;0.01190222;-0.02624592
-47.06029743;0.01190222;-0.02624592
-47.01933743;0.01190222;-0.02624592
-46.97837743;0.01190222;-0.02624592
-46.93741743;0.01190222;-0.02624592
-46.89645743;0.01190222;-0.02624592
-46.85549743;0.01190222;-0.02624592
-46.81453743;0.01190222;0.15076140
-46.77357743;0.01190222;-0.02624592
-46.73261743;0.01190222;-0.02624592
-46.69165743;0.01190222;0.15076140
-46.65069743;0.01190222;0.15076140
-46.60973743;0.01190222;0.15076140
-46.56877743;0.01190222;-0.02624592
-46.52781743;0.01190222;-0.02624592
-46.48685743;-0.03219703;0.15076140
-46.44589743;0.01190222;-0.02624592
-46.40493743;0.01190222;0.15076140
-46.36397744;0.01190222;-0.02624592
-46.32301744;0.01190222;-0.02624592
-46.28205744;0.01190222;-0.02624592
-46.24109744;0.01190222;-0.02624592
-46.20013744;0.01190222;-0.02624592
-46.15917744;0.01190222;0.15076140
-46.11821744;0.01190222;0.15076140
-46.07725744;0.01190222;-0.02624592
-46.03629744;-0.03219703;-0.02624592
-45.99533744;0.01190222;0.15076140
-45.95437744;-0.03219703;-0.02624592
-45.91341744;-0.03219703;-0.02624592
-45.87245744;-0.03219703;-0.02624592
-45.83149744;0.01190222;-0.02624592
-45.79053744;0.01190222;-0.02624592
-45.74957744;0.01190222;-0.02624592
-45.70861744;0.01190222;-0.02624592
-45.66765744;0.01190222;0.15076140
-45.62669744;0.01190222;-0.02624592
-45.58573744;0.01190222;-0.02624592
-45.54477744;0.01190222;-0.02624592
-45.50381744;0.01190222;-0.02624592
-45.46285744;0.01190222;0.15076140
-45.42189744;0.01190222;-0.02624592
