Time;Channel A;Channel B
(ms);(V);(V)

-50.09276047;0.03387555;-0.02624592
-50.05180047;0.03387555;-0.02624592
-50.01084047;0.03387555;-0.02624592
-49.96988047;0.03387555;0.15076140
-49.92892047;0.03387555;-0.02624592
-49.88796047;0.03387555;-0.02624592
-49.84700047;0.03387555;-0.02624592
-49.80604048;0.03387555;0.15076140
-49.76508048;0.03387555;0.15076140
-49.72412048;0.03387555;-0.02624592
-49.68316048;0.03387555;0.15076140
-49.64220048;0.03387555;-0.02624592
-49.60124048;0.03387555;-0.02624592
-49.56028048;0.03387555;-0.02624592
-49.51932048;0.03387555;0.15076140
-49.47836048;0.03387555;-0.02624592
-49.43740048;0.03387555;-0.02624592
-49.39644048;0.03387555;-0.02624592
-49.35548048;0.03387555;-0.02624592
-49.31452048;-0.05432295;-0.02624592
-49.27356048;0.03387555;-0.02624592
-49.23260048;0.03387555;-0.02624592
-49.19164048;0.03387555;-0.02624592
-49.15068048;0.03387555;-0.02624592
-49.10972048;0.03387555;0.15076140
-49.06876048;0.03387555;0.15076140
-49.02780048;-0.05432295;-0.02624592
-48.98684048;0.03387555;0.15076140
-48.94588048;0.03387555;-0.02624592
-48.90492048;0.03387555;0.15076140
-48.86396048;-0.05432295;-0.02624592
-48.82300048;0.03387555;-0.02624592
-48.78204048;0.03387555;-0.02624592
-48.74108048;0.03387555;-0.02624592
-48.70012048;-0.05432295;-0.02624592
-48.65916048;0.03387555;-0.02624592
-48.61820048;0.03387555;-0.02624592
-48.57724048;0.03387555;-0.02624592
-48.53628048;0.03387555;-0.02624592
-48.49532048;-0.05432295;-0.02624592
-48.45436048;0.03387555;-0.02624592
-48.41340048;0.03387555;0.15076140
-48.37244048;0.03387555;-0.02624592
-48.33148048;-0.05432295;-0.02624592
-48.29052048;-0.05432295;0.15076140
-48.24956048;-0.05432295;-0.02624592
-48.20860048;0.03387555;-0.02624592
-48.16764049;0.03387555;-0.02624592
-48.12668049;0.03387555;0.15076140
-48.08572049;0.03387555;-0.02624592
-48.04476049;0.03387555;-0.02624592
-48.00380049;-0.05432295;-0.02624592
-47.96284049;0.03387555;-0.02624592
-47.92188049;0.03387555;-0.02624592
-47.88092049;0.03387555;-0.02624592
-47.83996049;-0.05432295;-0.02624592
-47.79900049;-0.05432295;0.15076140
-47.75804049;0.03387555;-0.02624592
-47.71708049;0.03387555;-0.02624592
-47.67612049;0.03387555;-0.02624592
-47.63516049;0.03387555;-0.02624592
-47.59420049;0.03387555;-0.02624592
-47.55324049;-0.05432295;-0.02624592
-47.51228049;0.03387555;-0.02624592
-47.47132049;0.03387555;0.15076140
-47.43036049;0.03387555;0.15076140
-47.38940049;0.03387555;-0.02624592
-47.34844049;-0.05432295;-0.02624592
-47.30748049;-0.05432295;-0.02624592
-47.26652049;0.03387555;-0.02624592
-47.22556049;0.03387555;-0.02624592
-47.18460049;0.03387555;-0.02624592
-47.14364049;0.03387555;-0.02624592
-47.10268049;0.03387555;-0.02624592
-47.06172049;0.03387555;-0.02624592
-47.02076049;0.03387555;-0.02624592
-46.97980049;0.03387555;-0.02624592
-46.93884049;0.03387555;-0.02624592
-46.89788049;0.03387555;0.15076140
-46.85692049;0.03387555;-0.02624592
-46.81596049;0.03387555;0.15076140
-46.77500049;-0.05432295;0.15076140
-46.73404049;0.03387555;-0.02624592
-46.69308049;0.03387555;-0.02624592
-46.65212049;0.03387555;-0.02624592
-46.61116049;0.03387555;-0.02624592
-46.57020049;0.03387555;-0.02624592
-46.52924050;0.03387555;-0.02624592
-46.48828050;-0.05432295;-0.02624592
-46.44732050;0.03387555;-0.02624592
-46.40636050;0.03387555;-0.02624592
-46.36540050;0.03387555;-0.02624592
-46.32444050;0.03387555;0.15076140
-46.28348050;0.03387555;0.15076140
-46.24252050;0.03387555;-0.02624592
-46.20156050;0.03387555;-0.02624592
-46.16060050;0.03387555;0.15076140
-46.11964050;0.03387555;-0.02624592
-46.07868050;-0.05432295;-0.02624592
-46.03772050;0.03387555;-0.02624592
-45.99676050;0.03387555;-0.02624592
-45.95580050;0.03387555;-0.02624592
-45.91484050;0.03387555;-0.02624592
-45.87388050;0.03387555;0.15076140
-45.83292050;0.03387555;-0.02624592
-45.79196050;0.03387555;-0.02624592
-45.75100050;-0.05432295;-0.02624592
-45.71004050;-0.05432295;-0.02624592
-45.66908050;0.03387555;0.15076140
-45.62812050;-0.05432295;0.15076140
-45.58716050;0.03387555;-0.02624592
-45.54620050;0.03387555;-0.02624592
-45.50524050;-0.05432295;-0.02624592
-45.46428050;0.03387555;-0.02624592
