Time;Channel A;Channel B
(ms);(V);(V)

-50.09187013;6.46931400;9.89593200
-50.05091013;6.55751200;9.89593200
-50.00995013;6.55751200;9.71831400
-49.96899013;6.55751200;9.54130600
-49.92803013;6.46931400;9.54130600
-49.88707013;6.46931400;9.54130600
-49.84611013;6.46931400;9.54130600
-49.80515013;6.46931400;9.54130600
-49.76419013;6.55751200;9.54130600
-49.72323013;6.55751200;9.36430000
-49.68227013;0.03387555;0.15076140
-49.64131013;0.03387555;0.15076140
-49.60035013;0.03387555;0.15076140
-49.55939013;0.03387555;-0.02624592
-49.51843013;0.03387555;-0.02624592
-49.47747013;0.03387555;-0.02624592
-49.43651013;0.03387555;0.15076140
-49.39555013;-0.05432295;-0.02624592
-49.35459013;0.03387555;-0.02624592
-49.31363013;0.03387555;-0.02624592
-49.27267013;-0.05432295;-0.02624592
-49.23171013;0.03387555;-0.02624592
-49.19075013;0.03387555;-0.02624592
-49.14979013;0.03387555;0.15076140
-49.10883014;0.03387555;0.15076140
-49.06787014;0.03387555;0.15076140
-49.02691014;0.03387555;-0.02624592
-48.98595014;0.03387555;0.15076140
-48.94499014;0.03387555;0.15076140
-48.90403014;-0.05432295;-0.02624592
-48.86307014;0.03387555;0.15076140
-48.82211014;-0.05432295;-0.02624592
-48.78115014;0.03387555;-0.02624592
-48.74019014;-0.05432295;-0.02624592
-48.69923014;-0.05432295;-0.02624592
-48.65827014;0.03387555;0.15076140
-48.61731014;0.03387555;-0.02624592
-48.57635014;0.03387555;-0.02624592
-48.53539014;0.03387555;0.15076140
-48.49443014;0.03387555;-0.02624592
-48.45347014;-0.05432295;-0.02624592
-48.41251014;0.03387555;-0.02624592
-48.37155014;0.03387555;-0.02624592
-48.33059014;0.03387555;-0.02624592
-48.28963014;-0.05432295;-0.02624592
-48.24867014;0.03387555;-0.02624592
-48.20771014;0.03387555;-0.02624592
-48.16675014;-0.05432295;-0.02624592
-48.12579014;-0.05432295;-0.02624592
-48.08483014;0.03387555;-0.02624592
-48.04387014;0.03387555;-0.02624592
-48.00291014;0.03387555;-0.02624592
-47.96195014;0.03387555;-0.02624592
-47.92099014;0.03387555;-0.02624592
-47.88003014;0.03387555;-0.02624592
-47.83907014;0.03387555;-0.02624592
-47.79811014;0.03387555;-0.02624592
-47.75715014;-0.05432295;0.15076140
-47.71619014;0.03387555;0.15076140
-47.67523014;0.03387555;-0.02624592
-47.63427014;0.03387555;-0.02624592
-47.59331014;0.03387555;-0.02624592
-47.55235014;-0.05432295;-0.02624592
-47.51139014;0.03387555;-0.02624592
-47.47043015;0.03387555;-0.02624592
-47.42947015;0.03387555;0.15076140
-47.38851015;0.03387555;0.15076140
-47.34755015;0.03387555;0.15076140
-47.30659015;-0.05432295;-0.02624592
-47.26563015;-0.05432295;-0.02624592
-47.22467015;0.03387555;-0.02624592
-47.18371015;0.03387555;0.15076140
-47.14275015;0.03387555;-0.02624592
-47.10179015;0.03387555;0.15076140
-47.06083015;0.03387555;-0.02624592
-47.01987015;0.03387555;-0.02624592
-46.97891015;0.03387555;0.15076140
-46.93795015;0.03387555;0.15076140
-46.89699015;0.03387555;-0.02624592
-46.85603015;0.03387555;0.15076140
-46.81507015;-0.05432295;0.15076140
-46.77411015;0.03387555;-0.02624592
-46.73315015;0.03387555;-0.02624592
-46.69219015;0.03387555;-0.02624592
-46.65123015;0.03387555;-0.02624592
-46.61027015;0.03387555;0.15076140
-46.56931015;0.03387555;-0.02624592
-46.52835015;-0.05432295;-0.02624592
-46.48739015;-0.05432295;-0.02624592
-46.44643015;0.03387555;-0.02624592
-46.40547015;0.03387555;-0.02624592
-46.36451015;0.03387555;-0.02624592
-46.32355015;-0.05432295;0.15076140
-46.28259015;0.03387555;-0.02624592
-46.24163015;0.03387555;0.15076140
-46.20067015;-0.05432295;-0.02624592
-46.15971015;-0.05432295;-0.02624592
-46.11875015;-0.05432295;-0.02624592
-46.07779015;0.03387555;-0.02624592
-46.03683015;0.03387555;-0.02624592
-45.99587015;0.03387555;0.15076140
-45.95491015;0.03387555;-0.02624592
-45.91395015;0.03387555;-0.02624592
-45.87299015;0.03387555;-0.02624592
-45.83203015;0.03387555;-0.02624592
-45.79107016;0.03387555;0.15076140
-45.75011016;0.03387555;-0.02624592
-45.70915016;0.03387555;-0.02624592
-45.66819016;0.03387555;-0.02624592
-45.62723016;0.03387555;0.15076140
-45.58627016;0.03387555;0.15076140
-45.54531016;0.03387555;-0.02624592
-45.50435016;-0.05432295;-0.02624592
-45.46339016;0.03387555;0.15076140
-45.42243016;-0.05432295;-0.02624592
